no,scheme_name,scope,category,eligibility_summary,benefit_summary,documents_summary,official_myscheme_url,source,last_verified
24,Mahatma Gandhi National Rural Employment Guarantee Act,Central,Employment,Adult members of rural households aged 18 and above willing to do unskilled manual work,Guaranteed minimum of 100 days of wage employment per financial year per rural household at statutory notified wages,Aadhaar card; MGNREGA Job Card; rural residence proof; bank or post-office account passbook; photograph,https://www.myscheme.gov.in/schemes/mgnrega,Official myScheme page,2026-09-12
25,Pradhan Mantri Krishi Sinchayee Yojana: Per Drop More Crop,Central,Agriculture,"All farmer categories including small, marginal, and tenant farmers with cultivable land and an assured irrigation source",Capital subsidy of 45% to 55% for installation of micro-irrigation systems (drip and sprinkler irrigation),Aadhaar card; 7/12 extract or land ownership records; bank passbook; electricity bill or water source certificate; quotation of micro-irrigation system,https://www.myscheme.gov.in/schemes/pmksypdmc,Official myScheme page,2026-09-12
26,Indira Gandhi National Old Age Pension Scheme,Central,Pension and Social Security,Citizens aged 60 years and above belonging to a household living Below the Poverty Line (BPL),Monthly central pension of ₹200 to ₹500 per month with additional state top-up contribution according to state norms,Aadhaar card; age proof certificate; BPL card or ration card; bank passbook; domicile certificate; photographs,https://www.myscheme.gov.in/schemes/ignoaps,Official myScheme page,2026-09-12
27,Indira Gandhi National Widow Pension Scheme,Central,Pension and Social Security,Widows aged 40 to 79 years belonging to a household living Below the Poverty Line (BPL),Monthly pension of ₹300 per month under NSAP guidelines with supplementary state contribution,Aadhaar card; husband death certificate; BPL certificate or ration card; bank passbook; age proof; domicile certificate,https://www.myscheme.gov.in/schemes/ignwps,Official myScheme page,2026-09-12
28,Indira Gandhi National Disability Pension Scheme,Central,Disability and Social Welfare,Persons aged 18 to 79 years with severe or multiple disabilities (80% and above) belonging to a BPL household,Monthly pension of ₹300 per month under NSAP guidelines with additional state government pension top-up,Aadhaar card; disability certificate or UDID card (80%+ disability); BPL ration card; bank passbook; age proof; photographs,https://www.myscheme.gov.in/schemes/igndps,Official myScheme page,2026-09-12
29,Stand-Up India,Central,Business and Entrepreneurship,"SC, ST, or woman entrepreneurs aged 18 and above setting up a greenfield enterprise in manufacturing, services, or trading","Bank composite loan between ₹10,00,000 and ₹1,00,00,000 covering up to 85% of project cost for new enterprise setup",Aadhaar card; PAN card; caste certificate for SC/ST; project report and business plan; address proof; bank statements; lease or title deed,https://www.myscheme.gov.in/schemes/sui,Official myScheme page,2026-09-12
30,Skill Loan Scheme,Central,Skill Development,"Indian nationals admitted into course run by ITIs, polytechnics, or NSDC-affiliated training organizations","Institutional skill loan from ₹5,000 to ₹1,50,000 without collateral at concessional interest rate with repayment period up to 7 years",Aadhaar card; admission letter or bonafide student certificate; training institute fee schedule; marksheets; bank passbook; KYC documents,https://www.myscheme.gov.in/schemes/sl,Official myScheme page,2026-09-12
31,Women Scientist Scheme-C,Central,Science and Technology,Women scientists and technologists aged 27 to 45 years with a career break holding Master's or Doctoral degree in Science/Engineering,"One-year hands-on training fellowship in intellectual property rights, patent law, and patent search with monthly stipend up to ₹35,000",Aadhaar card; educational degree certificates; age proof; career break explanation declaration; biodata and published papers; bank details,https://www.myscheme.gov.in/schemes/wos-c,Official myScheme page,2026-09-12
32,National Overseas Scholarship For Scheduled Caste Candidates,Central,Education,"SC, Denotified Nomadic/Semi-Nomadic tribes, or agricultural labour candidates below 35 years with family income below ₹8,00,000","Full tuition fees, maintenance allowance, visa fees, air passage, and contingency grant for Master's or Ph.D. abroad",Aadhaar card; caste certificate; family income certificate; foreign university admission letter; academic marksheets; passport; bank passbook,https://www.myscheme.gov.in/schemes/nos-sc,Official myScheme page,2026-09-12
33,Post Matric Scholarship Students With Disabilities,Central,Education,"Students with certified disability of 40% and above studying in post-matriculation courses with parental income up to ₹2,50,000 per year","Maintenance allowance, book grant, disability allowances, and reimbursement of non-refundable compulsory fees",Aadhaar card; disability certificate or UDID card; income certificate; admission receipt; marksheets; bank passbook,https://www.myscheme.gov.in/schemes/post-dis,Official myScheme page,2026-09-12
34,Post Matric Scholarship Scheme For The Students Belonging To Scheduled Tribe For Studies In India,Central,Education,"Scheduled Tribe (ST) students pursuing recognized post-matric courses with total family income not exceeding ₹2,50,000 per annum",Complete reimbursement of compulsory non-refundable course fees and monthly maintenance allowance under Ministry guidelines,Aadhaar card; ST community certificate; parent income certificate; college admission receipt; marksheets; bank passbook,https://www.myscheme.gov.in/schemes/post-st,Official myScheme page,2026-09-12
35,National Pension Scheme For Traders And Self Employed Persons,Central,Pension and Social Security,"Self-employed shopkeepers, retail traders, and enterprise owners aged 18 to 40 with annual turnover not exceeding ₹1.5 Crore","Assured minimum monthly pension of ₹3,000 upon reaching 60 years of age with 50% central government matching contribution",Aadhaar card; savings bank account passbook; GSTIN or business registration; declaration of turnover; auto-debit consent form,https://www.myscheme.gov.in/schemes/nps-tsep,Official myScheme page,2026-09-12
36,Mahila Kisan Yojana (Maharashtra),Maharashtra,Agriculture and Women Empowerment,Women farmers in Maharashtra holding agricultural land or engaged in agricultural/allied activities belonging to eligible categories,"Financial assistance and subsidized term loans up to ₹50,000 for purchasing farm implements, seeds, and agricultural inputs",Aadhaar card; Maharashtra domicile certificate; 7/12 land extract or tenant proof; caste certificate; bank passbook; photograph,https://www.myscheme.gov.in/schemes/mkym,Official myScheme page,2026-09-12
37,Mahila Samridhi Yojana (Maharashtra),Maharashtra,Microenterprise Credit and Women Empowerment,Women entrepreneurs from backward classes in Maharashtra aged 18 to 50 with annual family income within notified poverty limits,"Microfinance loan up to ₹1,40,000 at concessional interest rate of 4% per annum for self-employment ventures",Aadhaar card; Maharashtra domicile certificate; caste certificate; income certificate; business quotation or project proposal; bank passbook,https://www.myscheme.gov.in/schemes/msym,Official myScheme page,2026-09-12
38,Post-Matric Scholarship To VJNT Students - Maharashtra,Maharashtra,Education,Students belonging to Vimukta Jati and Nomadic Tribes (VJNT) residing in Maharashtra pursuing approved post-matric courses,"Reimbursement of tuition fees, exam fees, and maintenance allowance under Maharashtra Social Justice Department rules",Aadhaar card; Maharashtra domicile certificate; VJNT caste certificate; caste validity certificate; income certificate; marksheets; bank passbook,https://www.myscheme.gov.in/schemes/pmsvs-maharashtra,Official myScheme page,2026-09-12
39,Aam Aadmi Bima Yojana (Maharashtra),Maharashtra,Insurance and Social Security,Heads of family or primary earning members aged 18 to 59 in rural landless households or unorganized vocational groups in Maharashtra,"Life insurance cover of ₹30,000 for natural death, ₹75,000 for accidental death/disability, and free Shiksha Sahayog scholarship for children",Aadhaar card; age proof; Maharashtra residence proof; landless agricultural worker or occupation certificate; bank passbook; nominee details,https://www.myscheme.gov.in/schemes/aabym,Official myScheme page,2026-09-12
40,National Overseas Scholarship For Students With Disabilities,Central,Education and Disability,"Students with disability of 40% and above below 35 years pursuing Master's degree or Ph.D. in foreign universities with family income below ₹8,00,000","Full tuition fees, annual maintenance allowance ($15,400 / £9,900), contingency allowance, medical insurance, and economy return airfare",Aadhaar card; disability certificate; family income certificate; foreign university admission letter; marksheets; valid Indian passport; bank details,https://www.myscheme.gov.in/schemes/nos-swd,Official myScheme page,2026-09-12
